hCoV-19/Afghanistan/2870x0002_23698/2021	betacoronavirus	EPI_ISL_4572740	?	2021-04-26	Asia	Afghanistan			Asia	Afghanistan		genome	29864	Human	unknown	unknown	?	B.1.1.7	GRY	Afghanistan	WRAIR	Irina Maljkovic Berry, Jun Hang, Christian Fung, Yu Yang, Jesse M. Wickham, Marcus Chibucos, Adam Pollio, Matthew L. Bezzant, Jay Gandhi, Grace C. Hodge, Tao Li, Jessica A. Lima, Matthew A. Conte, Patrick W. Kennedy, Grace M. Lidl, Jay A. Johannigman, Heather Friberg	https://www.gisaid.org/	?	?	29/09/2021	?
hCoV-19/Afghanistan/2870x0050_23780/2021	betacoronavirus	EPI_ISL_4572765	?	2021-05-15	Asia	Afghanistan			Asia	Afghanistan		genome	29827	Human	unknown	unknown	?	B.1.1.7	GRY	Afghanistan	WRAIR	Irina Maljkovic Berry, Jun Hang, Christian Fung, Yu Yang, Jesse M. Wickham, Marcus Chibucos, Adam Pollio, Matthew L. Bezzant, Jay Gandhi, Grace C. Hodge, Tao Li, Jessica A. Lima, Matthew A. Conte, Patrick W. Kennedy, Grace M. Lidl, Jay A. Johannigman, Heather Friberg	https://www.gisaid.org/	?	?	29/09/2021	?
hCoV-19/Afghanistan/2870x0142_23820/2021	betacoronavirus	EPI_ISL_4572795	?	2021-04-10	Asia	Afghanistan			Asia	Afghanistan		genome	29799	Human	unknown	unknown	?	B.1.1.7	GRY	Afghanistan	WRAIR	Irina Maljkovic Berry, Jun Hang, Christian Fung, Yu Yang, Jesse M. Wickham, Marcus Chibucos, Adam Pollio, Matthew L. Bezzant, Jay Gandhi, Grace C. Hodge, Tao Li, Jessica A. Lima, Matthew A. Conte, Patrick W. Kennedy, Grace M. Lidl, Jay A. Johannigman, Heather Friberg	https://www.gisaid.org/	?	?	29/09/2021	?
hCoV-19/Afghanistan/2870x0174_23827/2021	betacoronavirus	EPI_ISL_4572801	?	2021-05-07	Asia	Afghanistan			Asia	Afghanistan		genome	29798	Human	unknown	unknown	?	B.1.1.7	GRY	Afghanistan	WRAIR	Irina Maljkovic Berry, Jun Hang, Christian Fung, Yu Yang, Jesse M. Wickham, Marcus Chibucos, Adam Pollio, Matthew L. Bezzant, Jay Gandhi, Grace C. Hodge, Tao Li, Jessica A. Lima, Matthew A. Conte, Patrick W. Kennedy, Grace M. Lidl, Jay A. Johannigman, Heather Friberg	https://www.gisaid.org/	?	?	29/09/2021	?
hCoV-19/Albania/210901058/2020	betacoronavirus	EPI_ISL_1299867	?	2020-12-30	Europe	Albania			Europe	Albania		genome	29803	Human	28	Male	?	B.1.1.7	GRY	Unit of lab surveillance of viral emerging diseases, National Lab of Influenza	Respiratory Virus Unit, National Infection Service, Public Health England	PHE Covid Sequencing Team, Iris Hasibra, Prof Silvia Bino, Prof Albana Fico	https://www.gisaid.org/	?	?	19/03/2021	?
hCoV-19/Albania/210901063/2021	betacoronavirus	EPI_ISL_1299871	?	2021-03-08	Europe	Albania			Europe	Albania		genome	29804	Human	21	Male	?	B.1.1.7	GRY	Unit of lab surveillance of viral emerging diseases, National Lab of Influenza	Respiratory Virus Unit, National Infection Service, Public Health England	PHE Covid Sequencing Team, Iris Hasibra, Prof Silvia Bino, Prof Albana Fico	https://www.gisaid.org/	?	?	19/03/2021	?
hCoV-19/Albania/210901070/2021	betacoronavirus	EPI_ISL_1299876	?	2021-01-21	Europe	Albania			Europe	Albania		genome	29810	Human	36	Female	?	B.1.1.7	GRY	Unit of lab surveillance of viral emerging diseases, National Lab of Influenza	Respiratory Virus Unit, National Infection Service, Public Health England	PHE Covid Sequencing Team, Iris Hasibra, Prof Silvia Bino, Prof Albana Fico	https://www.gisaid.org/	?	?	19/03/2021	?
hCoV-19/Algeria/33008/2021	betacoronavirus	EPI_ISL_12156751	?	2021-04-26	Africa	Algeria	Algiers		Africa	Algeria	Algiers	genome	29695	Human	57	Male	?	B.1.1.7	GRY	NIC,  Viral Respiratory Unit	NIC,  Viral Respiratory Unit	Sarah Belkalem, Mohamed Amine Beloufa, Baya Hedjal, Kahina Izri, Alia Gradi, Zahida Mehdi, Aicha Bensalem, Fawzi Derrar, Ajogbasile Fehintola Victoria, Kayode Tolulope Adeyemi, Oguzie Judith Uche, Olawoye Idowu Bolade, Olumade Testimony Jesupamilerin, Oluniyi Paul Eniola, Uwanibe Jessica Nnenna, Abechi Priscilla, Adedotun-Sulaiman Kemi, Adeleke Ayomide, Akano Kazeem, Akinlo Oluwasemilogo Oluwasekunolami, Akin-John Julie Oreoluwa, Ayoade Femi, Ayo-Ale Olubukola, Adegboyega Benjamin, Chukwu Grace Chizaramu, Eromon Philomena, Ezekiel Grace Opemipo, Brimmo Farida, Fayemi Olanrewaju Odunyemi, Nwodo Deborah Chisom, Ogunsanya Olusola Akinola, Okolie Johnson, Omoniyi Abolade Esther, Omwanghe Iyobosa Beatrice, Ope-ewe Oludayo Oluwaseyi, Otitoola Shobi, Oyejide Nicholas, Philip Courage, Ipaye Testimony Oluwatise, John Oluwagboadurami, Muhammad Ahmed Iluoreh, Saibu Mudasiru Femi, Sijuwola Ayotunde Elijah, Sobajo Tope, Terkuma Christabel Anamuma, Ugwu Chinedu, Uwem George, Folarin Onikepe, Fred-Akintunwa Iyanuoluwa, Happi Anise Nkenjop, Happi Christian Tientcha	https://www.gisaid.org/	?	?	20/04/2022	?
hCoV-19/Algeria/33212/2021	betacoronavirus	EPI_ISL_12156753	?	2021-04-28	Africa	Algeria	Algiers		Africa	Algeria	Algiers	genome	29695	Human	24	Male	?	B.1.1.7	GRY	NIC,  Viral Respiratory Unit	NIC,  Viral Respiratory Unit	Sarah Belkalem, Mohamed Amine Beloufa, Baya Hedjal, Kahina Izri, Alia Gradi, Zahida Mehdi, Aicha Bensalem, Fawzi Derrar, Ajogbasile Fehintola Victoria, Kayode Tolulope Adeyemi, Oguzie Judith Uche, Olawoye Idowu Bolade, Olumade Testimony Jesupamilerin, Oluniyi Paul Eniola, Uwanibe Jessica Nnenna, Abechi Priscilla, Adedotun-Sulaiman Kemi, Adeleke Ayomide, Akano Kazeem, Akinlo Oluwasemilogo Oluwasekunolami, Akin-John Julie Oreoluwa, Ayoade Femi, Ayo-Ale Olubukola, Adegboyega Benjamin, Chukwu Grace Chizaramu, Eromon Philomena, Ezekiel Grace Opemipo, Brimmo Farida, Fayemi Olanrewaju Odunyemi, Nwodo Deborah Chisom, Ogunsanya Olusola Akinola, Okolie Johnson, Omoniyi Abolade Esther, Omwanghe Iyobosa Beatrice, Ope-ewe Oludayo Oluwaseyi, Otitoola Shobi, Oyejide Nicholas, Philip Courage, Ipaye Testimony Oluwatise, John Oluwagboadurami, Muhammad Ahmed Iluoreh, Saibu Mudasiru Femi, Sijuwola Ayotunde Elijah, Sobajo Tope, Terkuma Christabel Anamuma, Ugwu Chinedu, Uwem George, Folarin Onikepe, Fred-Akintunwa Iyanuoluwa, Happi Anise Nkenjop, Happi Christian Tientcha	https://www.gisaid.org/	?	?	20/04/2022	?
hCoV-19/Algeria/42382/2021	betacoronavirus	EPI_ISL_11905508	?	2021-05-31	Africa	Algeria	Algiers		Africa	Algeria	Algiers	genome	29763	Human	34	Female	?	B.1.1.7	GRY	NIC,  Viral Respiratory Unit	Virology Departement	Alia Grad, Fayez Khardine, Amel Benyahia, Fetouma Doudou, Nardjes Hihi, Mohamed Amine Beloufa, Aissam Hachid, Aicha Bensalem, Fawzi Derrar	https://www.gisaid.org/	?	?	10/04/2022	?
hCoV-19/Andorra/AND-235_2118213847_GC/2021	betacoronavirus	EPI_ISL_3384893	?	2021-06-07	Europe	Andorra	Andorra		Europe	Andorra	Andorra	genome	29763	Human	62	Female	?	B.1.1.7	GRY	Laboratori d'anàlisis clíniques, Hospital Nostra Senyora de Meritxell	LBM de CHU de Toulouse, Hôpitaux de Toulouse	M,Rendon et Al	https://www.gisaid.org/	?	?	13/08/2021	?
hCoV-19/Andorra/AND-235_2118213857_GC/2021	betacoronavirus	EPI_ISL_3384894	?	2021-06-09	Europe	Andorra	Andorra		Europe	Andorra	Andorra	genome	29763	Human	40	Female	?	B.1.1.7	GRY	Laboratori d'anàlisis clíniques, Hospital Nostra Senyora de Meritxell	LBM de CHU de Toulouse, Hôpitaux de Toulouse	M,Rendon et Al	https://www.gisaid.org/	?	?	13/08/2021	?
hCoV-19/AntiguaandBarbuda/73637/2021	betacoronavirus	EPI_ISL_2955593	?	2021-02-17	North America	Antigua and Barbuda			North America	Antigua and Barbuda		genome	29592	Human	unknown	unknown	?	B.1.1.7	GRY	The Caribbean Public Health Agency	Carrington Lab, Department of Preclinical Sciences, Faculty of Medical Sciences, The University of the West Indies, St Augustine Campus	Nikita S. D. Sahadeo, Arianne Brown-Jordan, Sarah Hill, Vernie Ramkissoon, Anushka Ramjag, Rhonda Sealey-Thomas, Avery Hinds, Risha Singh, SueMin Nathaniel, Nuno Faria, Oliver Pybus, Gabriel Escobar, Christine V. F. Carrington	https://www.gisaid.org/	?	?	14/07/2021	?
hCoV-19/AntiguaandBarbuda/74106/2021	betacoronavirus	EPI_ISL_2716565	?	2021-04-07	North America	Antigua and Barbuda			North America	Antigua and Barbuda		genome	29763	Human	unknown	unknown	?	B.1.1.7	GRY	The Caribbean Public Health Agency	Carrington Lab, Department of Preclinical Sciences, Faculty of Medical Sciences, The University of the West Indies, St Augustine Campus	Nikita S. D. Sahadeo, Arianne Brown-Jordan, Sarah Hill, Vernie Ramkissoon, Anushka Ramjag, Rhonda Sealey-Thomas, Avery Hinds, Risha Singh, SueMin Nathaniel, Nuno Faria, Oliver Pybus, Gabriel Escobar, Christine V. F. Carrington	https://www.gisaid.org/	?	?	29/06/2021	?
hCoV-19/AntiguaandBarbuda/74113/2021	betacoronavirus	EPI_ISL_2716570	?	2021-05-06	North America	Antigua and Barbuda			North America	Antigua and Barbuda		genome	29763	Human	unknown	unknown	?	B.1.1.7	GRY	The Caribbean Public Health Agency	Carrington Lab, Department of Preclinical Sciences, Faculty of Medical Sciences, The University of the West Indies, St Augustine Campus	Nikita S. D. Sahadeo, Arianne Brown-Jordan, Sarah Hill, Vernie Ramkissoon, Anushka Ramjag, Rhonda Sealey-Thomas, Avery Hinds, Risha Singh, SueMin Nathaniel, Nuno Faria, Oliver Pybus, Gabriel Escobar, Christine V. F. Carrington	https://www.gisaid.org/	?	?	29/06/2021	?
hCoV-19/AntiguaandBarbuda/74114/2021	betacoronavirus	EPI_ISL_2716571	?	2021-05-06	North America	Antigua and Barbuda			North America	Antigua and Barbuda		genome	29763	Human	unknown	unknown	?	B.1.1.7	GRY	The Caribbean Public Health Agency	Carrington Lab, Department of Preclinical Sciences, Faculty of Medical Sciences, The University of the West Indies, St Augustine Campus	Nikita S. D. Sahadeo, Arianne Brown-Jordan, Sarah Hill, Vernie Ramkissoon, Anushka Ramjag, Rhonda Sealey-Thomas, Avery Hinds, Risha Singh, SueMin Nathaniel, Nuno Faria, Oliver Pybus, Gabriel Escobar, Christine V. F. Carrington	https://www.gisaid.org/	?	?	29/06/2021	?
hCoV-19/Argentina/PAIS-D0275/2021	betacoronavirus	EPI_ISL_7620384	?	2021-06-04	South America	Argentina	Tierra del Fuego	Ushuaia	South America	Argentina	Tierra del Fuego	genome	29799	Human	31	Female	?	B.1.1.7	GRY	Laboratorio del Hospital Regional Ushuaia Gdor. Ernesto Campos	Nodo de Secuenciación Tierra del Fuego - Hospital Regional Ushuaia - Centro Austral De Investigaciones Científicas - Universidad Nacional De Tierra Del Fuego on behalf PAIS project and ANLIS-Malbran	"Gramundi, ID; Gallego, F; Ceballos, SG; Nardi, CF; Rojas, AE; De Roccis, CA; Castro, G; Cáceres, SB; Yulan, CB; Boutureira, MF."	https://www.gisaid.org/	?	?	14/12/2021	?
hCoV-19/Argentina/UW21033060303/2021	betacoronavirus	EPI_ISL_10515173	?	2021-03-30	South America	Argentina	City of Buenos Aires		South America	Argentina	City of Buenos Aires	genome	29521	Human	unknown	unknown	?	B.1.1.7	GRY	UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury, Shah Mohamed Bakhash, Seffir T. Wendm, Sean Ellis, Keith R Jerome, Alexander Greninger	https://www.gisaid.org/	?	?	01/03/2022	?
hCoV-19/Armenia/IMB3-10/2021	betacoronavirus	EPI_ISL_1718303	?	2021-03-18	Asia	Armenia			Asia	Armenia		genome	29884	Human	unknown	unknown	?	B.1.1.7	GRY	National Center of Disease Control and Prevention of the Republic of Armenia	Institute of Molecular Biology NAS RA, Republic of Armenia, Department of Bioengineering, BioinformaticsInstitute and Molecular Biology IBMPh RAU, Republic of Armenia	Arsen Arakelyan, Diana Avetyan, Siras Hakobyan, Gisane Khachatyan, Maria Nikoghosyan, Tamara Sirunyan, Nelli Muradyan, Andranik Chavushyan, Hovsep Ghazaryan, Roksana Zakharyan, Shushan Sargrsyan, Gayane Melik-Pashayan	https://www.gisaid.org/	?	?	26/04/2021	?
hCoV-19/Armenia/IMB3-5/2021	betacoronavirus	EPI_ISL_1718298	?	2021-03-18	Asia	Armenia			Asia	Armenia		genome	29884	Human	unknown	unknown	?	B.1.1.7	GRY	National Center of Disease Control and Prevention of the Republic of Armenia	Institute of Molecular Biology NAS RA, Republic of Armenia, Department of Bioengineering, BioinformaticsInstitute and Molecular Biology IBMPh RAU, Republic of Armenia	Arsen Arakelyan, Diana Avetyan, Siras Hakobyan, Gisane Khachatyan, Maria Nikoghosyan, Tamara Sirunyan, Nelli Muradyan, Andranik Chavushyan, Hovsep Ghazaryan, Roksana Zakharyan, Shushan Sargrsyan, Gayane Melik-Pashayan	https://www.gisaid.org/	?	?	26/04/2021	?
